"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J8,J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"JST XH 01x02";;;
2;"R11,R1,R5";"R_0402_1005Metric";3;"33K";;;
3;"C12,C11,C1,C2";"C_0805_2012Metric";4;"22 uF";;;
4;"D4";"SOT-23";1;"BZX84-C13";;;
5;"C9,C8,C14,C15,C6,C7,C10,C17,C13";"C_0402_1005Metric";9;"0.1uF";;;
6;"Q2";"Vishay_PowerPAK_SC70-6L_Single";1;"SiA430DJT";;;
7;"R13,R3,R12,R7";"R_0402_1005Metric";4;"110K";;;
8;"D6";"Nexperia_DSN0603-2_0.6x0.3mm_P0.4mm";1;"PESD5V0C1BSFYL";;;
9;"C3";"C_0603_1608Metric";1;"1 uF";;;
10;"R14";"R_0402_1005Metric";1;"15K";;;
11;"C5,C4";"C_1206_3216Metric";2;"100uF";;;
12;"Q1";"Vishay_PowerPAK_SC70-6L_Single";1;"SiA471DJ";;;
13;"D1";"D_SMC";1;"XMC7K24CA";;;
14;"IC2";"QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm_ThermalVias";1;"TPS51397ARJER";;;
15;"U1";"SOT-23-6";1;"LM74700";;;
16;"R6";"R_0402_1005Metric";1;"1K";;;
17;"F1";"Fuse_Littelfuse-NANO2-451_453";1;"5A";;;
18;"C18";"CP_Elec_8x10";1;"100uF";;;
19;"R4";"R_0402_1005Metric";1;"180K";;;
20;"D5,D3";"LED_0603_1608Metric";2;"2.3V 20mA";;;
21;"U2";"4040";1;"COOLING";;;
22;"L1";"L_Vishay_IHLP-4040";1;"1.8 uH";;;
23;"R8";"R_0402_1005Metric";1;"10K";;;
24;"TP5,TP4,TP1,TP6,TP2,TP3";"TestPoint_Pad_D1.5mm";6;"TestPoint";;;
