Comment,Designator,Footprint,LCSC
5A,F1,Fuse_Littelfuse-NANO2-451_453,C108518
2444,J1,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,C123214
TPS51397ARJER,IC2,QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm_ThermalVias,C1518754
1 uF,C3,C_0603_1608Metric,C15849
100uF,C18,CP_Elec_8x10,C2165366
22 uF,"C1,C11,C12,C2",C_0805_2012Metric,C2179409
0.1uF,"C10,C13,C14,C15,C17,C6,C7,C8,C9",C_0402_1005Metric,C2193622
JST XH 01x02,"J2,J3,J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C24193
1K,R6,R_0402_1005Metric,C25087
10K,R8,R_0402_1005Metric,C25867
LM74700,U1,SOT-23-6,C2941042
100uF,"C4,C5",C_1206_3216Metric,C312983
15K,R14,R_0402_1005Metric,C319837
33K,"R1,R11,R5",R_0402_1005Metric,C323721
XMC7K24CA,D1,D_SMC,C3712593
110K,"R12,R13,R3,R7",R_0402_1005Metric,C413107
180K,R4,R_0402_1005Metric,C413110
PESD5V0C1BSFYL,D6,Nexperia_DSN0603-2_0.6x0.3mm_P0.4mm,C477955
1.8 uH,L1,L_Vishay_IHLP-4040,C506636
2.3V 20mA,"D3,D5",LED_0603_1608Metric,C72038
SiA430DJT,Q2,Vishay_PowerPAK_SC70-6L_Single,C727347
BZX84-C13,D4,SOT-23,C87090
SiA471DJ,Q1,Vishay_PowerPAK_SC70-6L_Single,
