Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22 uF,C_0805_2012Metric,144.45,-87.0,0.0,top
C2,22 uF,C_0805_2012Metric,144.45,-89.25,0.0,top
C3,1 uF,C_0603_1608Metric,139.5,-81.05,90.0,top
C4,100uF,C_1206_3216Metric,129.0,-75.75,180.0,top
C5,100uF,C_1206_3216Metric,129.0,-73.25,180.0,top
C6,0.1uF,C_0402_1005Metric,144.23,-85.3,0.0,top
C7,0.1uF,C_0402_1005Metric,128.0,-77.5,180.0,top
C8,0.1uF,C_0402_1005Metric,141.25,-85.3,180.0,top
C9,0.1uF,C_0402_1005Metric,137.0,-61.5,-90.0,top
C10,0.1uF,C_0402_1005Metric,138.98,-67.45,0.0,top
C11,22 uF,C_0805_2012Metric,140.5,-63.0,0.0,top
C12,22 uF,C_0805_2012Metric,140.5,-60.9,0.0,top
C13,0.1uF,C_0402_1005Metric,101.5,-101.75,0.0,top
C14,0.1uF,C_0402_1005Metric,130.0,-68.0,0.0,top
C15,0.1uF,C_0402_1005Metric,142.27,-64.55,180.0,top
C17,0.1uF,C_0402_1005Metric,143.0,-103.75,0.0,top
C18,100uF,CP_Elec_8x10,136.75,-93.75,180.0,top
D1,XMC7K24CA,D_SMC,135.0,-103.5,-90.0,top
D3,2.3V 20mA,LED_0603_1608Metric,149.2,-72.0,90.0,top
D4,BZX84-C13,SOT-23,143.5,-101.25,90.0,top
D5,2.3V 20mA,LED_0603_1608Metric,149.2,-75.25,-90.0,top
D6,PESD5V0C1BSFYL,Nexperia_DSN0603-2_0.6x0.3mm_P0.4mm,138.85,-68.45,180.0,top
F1,5A,Fuse_Littelfuse-NANO2-451_453,115.75,-106.5,0.0,top
IC2,TPS51397ARJER,QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm_ThermalVias,142.65,-82.4,90.0,top
J1,2444,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,96.0,-105.1,0.0,top
J2,JST XH 01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,105.0,-105.725,180.0,top
J3,JST XH 01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,130.0,-63.825,180.0,top
J6,Raspberry_Pi_2_3,PinSocket_2x20_P2.54mm_Vertical,117.72,-56.73,270.0,bottom
J8,JST XH 01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,146.725,-63.65,90.0,top
L1,1.8 uH,L_Vishay_IHLP-4040,132.25,-83.5,180.0,top
Q1,SiA471DJ,Vishay_PowerPAK_SC70-6L_Single,140.175,-102.4,180.0,top
Q2,SiA430DJT,Vishay_PowerPAK_SC70-6L_Single,139.175,-65.45,-90.0,top
R1,33K,R_0402_1005Metric,147.25,-79.55,0.0,top
R3,110K,R_0402_1005Metric,142.5,-105.25,90.0,top
R4,180K,R_0402_1005Metric,139.5,-78.3,-90.0,top
R5,33K,R_0402_1005Metric,141.0,-78.3,90.0,top
R6,1K,R_0402_1005Metric,149.1,-69.5,90.0,top
R7,110K,R_0402_1005Metric,145.0,-79.55,180.0,top
R8,10K,R_0402_1005Metric,149.25,-77.75,-90.0,top
R11,33K,R_0402_1005Metric,145.0,-78.25,0.0,top
R12,110K,R_0402_1005Metric,146.0,-81.8,180.0,top
R13,110K,R_0402_1005Metric,142.75,-76.75,180.0,top
R14,15K,R_0402_1005Metric,142.75,-78.8,0.0,top
U1,LM74700,SOT-23-6,136.0,-64.6,-90.0,top
U2,COOLING,4040,105.5,-80.5,0.0,top
